Title,Company,Address,Time,Requirements
SOC Engineer - Tier 2,Link Datacenter ,"Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Engineering · Computer Science · Information Technology (IT) · Linux · Risk · Risk Management
Junior Operations Engineer - Network/Cloud,Link Datacenter ,"Dokki, Giza, Egypt ",Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Operations/Management · Engineering · Telecommunication · Operations Engineering · Information Technology (IT) · Computer Science · Installation · Maintenance
HVAC Design Engineer, AMO,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · BIM · Design · HVAC · Revit · Mechanical · Computer Skills · Engineering · MS Office · Power
IT Help Desk Specialist,Floortec ,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information technology · Computer Science · Technology · Information Technology (IT) · Networks · Troubleshooting · computer
Reservation Executive,Confidential ,"Giza, Egypt ",Shift Based,Shift BasedEntry Level · Accounting/Finance · Administration · Reservation · Accounting
Chief Accountant,Benchmark Trading and Investments  ,"Cairo, Egypt ",Full Time,Full TimeManager · 5 - 12 Yrs of Exp · Accounting/Finance · Leadership · Personal Care · Planning · Accounting · Finance · FMCG · Management · Manufacturing · Tax
Executive Personal Assistant,London International Patient Services ,"Sheraton, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Administration · Office Management · Microsoft Office · Secretary · English · Communication · CEO · Executive · Personal Assistant
Account Manager,SMSA EXPRESS ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Sales/Retail · Sales · Sales Skills · Customer Service · Customer Care · Customer Support · Account Management · Courier Industry
UI/UX Design Lead,Future Face ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeManager · 8 - 12 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · UI · UX · Computer Science · Design · Adobe Illustrator · Photoshop
E Commerce Specialist,Confidential ,"New Nozha, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Social Media · E-Commerce · Sales · Sales Skills · Commerce · Marketing · Online Sales
English Instructor - Menoufeya (Hybrid),Berlitz Egypt ,"Alsadat City, Monufya, Egypt ",Part Time,Part TimeFreelance / ProjectShift BasedEntry Level · 0 - 5 Yrs of Exp · Education/Teaching · Training/Instructor · English Language · Languages · Linguistics · Translation · Training · Teaching · Education · Communication Skills
Administrative Assistant,Al Safy ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Administration · Administration · administrative · Communication skills · MS Office · Office management · Secretary
PHP Developer Codeigniter / Laravel,Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Full TimePart TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CodeIgniter · Laravel · Computer Science · Frameworks · Information Technology (IT) · PHP · Telecom Engineering
Customer Service Representative - Cairo- E-mail & Chat,Etisalat Egypt ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Customer Service · Customer Care · Customer Support · Customer Satisfaction
F&B Reservations Agent,Blue Nile ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · females_only · Customer Service/Support · Tourism/Travel · Booking · Tourism · Customer Care · Customer Support · Communication Skills · Customer Service
English Instructors - Cairo,English Capsules ,"Maadi, Cairo, Egypt ",Full Time,Full TimePart TimeFreelance / ProjectEntry Level · 0 - 3 Yrs of Exp · Education/Teaching · English Teaching · English Education · English Instructing · English Training · TEFL · tesol · Teaching · Training · Education
Senior Content Creator [ Bilingual ],Cultark ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · Writing · Content · Media · English · Arabic
Senior Digital Account Manager,Cultark ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Accounts · Content · Digital · Digital Marketing · Marketing · Management · Communication · Communication skills
Receptionist/Admin Assistant,Seven Cats E,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Administration · Admin · Communication · Management · Management skills · Office management · Microsoft Office · Reception
Accountant Intern,Procrew ,"Alexandria, Egypt ",Internship,InternshipEntry Level · Accounting/Finance · Accounting · Finance · Financial Analysis · Management · Auditing · ERP · Balance Sheet · Financial Statements · Income Statement
Customer Support Specialist,NetEra ,"Alexandria, Egypt ",Full Time,Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Customer Support · Customer Service · Customer Care · Call Center · English
F&B Cost Controller,Blue Nile ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Accounting/Finance · Accounting · Cost · Cost Control · Finance · Hospitality · Reporting · Commerce
Senior Sales Engineer - Waterproofing Materials,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Other · Chemicals · Construction · Engineering · Presentation Skills · Sales · selling skills · waterproofing
Maintenance Manager Assistant - (October Branch),Confidential ,"6th of October, Giza, Egypt ",Full Time,Full TimeManager · 10 - 15 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Maintenance · Engineering · Mechanical Engineering
HR Officer,Procrew ,"Alexandria, Egypt ",Internship,InternshipEntry Level · Administration · Human Resources · Labor · Human Resources (HR) · Microsoft Office · Personnel · Recruitment · Management · English · Communication
Technical Office Manager,Confidential ,"Tanta, Gharbia, Egypt ",Full Time,Full TimeManager · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Construction · PMP · Civil Engineering · Technical Office Engineering · AutoCAD · Engineering · Civil · Revit · English
Sales Admin - Real Estate,Platinum Properties for real estate services ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Sales · Sales Skills · Sales Target · Communication Skills · Computer Skills · Administration · Sales Admin · Real Estate
External Audit Manager,SAM ,"Riyadh, Saudi Arabia ",Full Time,Full TimeManager · 9+ Yrs of Exp · Accounting/Finance · ACCA · Accounting · Auditing · ESAA · CPA · external audit · Financial Analysis · IFRS · Project Management
Junior BI Developer,MegaSoft ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SQL · Information Technology (IT) · Software Engineering · Computer Science · Software · IBM · Service Management · Reporting
